NAME,STATE,Households,Avg household size,High school or more attained,Bachelors or higher,Veterans,Same house 1 year and over,Foreign born persons,Language other than english spoken at home,Mean travel time to work,Median household income,Per capita income,Percentage of individuals below the poverty level,Number of housing units,Number of two-unit structures,Number of three or four unit structures,Number of 5-9 unit structures,Number of 10-19 unit structures,Number of 20+ unit structures,Number of owner-occupied units,Median value of owner-occupied units,Total Population,Female persons,Persons under 5 years,Persons under 18 years,Persons over 65,White only,Black or African american only,Alaskan native or American Indian only,Asian only,Native Hawaiian or Pacific Islander,Two or more races,Hispanic or Latino,White alone not hispanic or latino,ESTAB,EMP,NESTAB,All Firms,Black Owned Firms,American Indian and Alaskan Native Owned Firms,Asian Owned Firms,Native Hawaiian or Pacific Islander Owned Firms,Hispanic Owned Firms,Women Owned Firms,Retail Sales,Accommodation and Food Sales,Population Density
Coahoma County,Mississippi,8387,2.45,81.3,20,5.4,88.3,1.5,2.1,19.9,36075,22701,37,10200,7.1,6.8,5.4,1,2.1,53.4,84400,21264,53.1,7.4,26.6,15.8,19.8,75.9,0.3,0.2,0,3.6,1.8,1.3,505,5038,2067,395,23,0,0,0,0,32,235978,76640,40.04425448
Copiah County,Mississippi,9841,2.76,84.9,21.3,4.8,95.2,1.4,2.6,31.2,46889,28072,23.4,12411,2.4,1.5,0.6,0,0.2,76.3,93600,28210,53.4,5.8,22.5,18.2,44,51,0,0.2,0,2.2,3.7,1.2,447,5562,1985,1856.666667,112.8333333,0,127.3333333,0,0,297.5,199105,20957,36.1064484
Covington County,Mississippi,6954,2.59,82.9,15.7,5.9,95.9,1.2,1.6,26.4,40164,24147,23.6,8335,0.3,1.8,1.4,0.2,0.8,75.4,76700,18323,50.9,6.5,24.3,17.3,60.6,34.9,0.7,0.1,0.2,3.4,1.4,1.1,328,4639,1592,247,0,0,0,0,0,35,246177,0,45.03423612
DeSoto County,Mississippi,68353,2.71,91.2,27.4,7.5,89,4,5.3,26,79666,34989,9.8,72572,0.5,2.6,4.2,1.9,1.7,76.4,227600,186214,51.6,5.9,25.2,13.1,61.3,30.9,0.2,1.3,0,3.8,3.9,1,3186,56162,17415,2000.777778,134.3333333,0,207.1111111,0,40,360.6666667,2862124,427989,388.2848186
Forrest County,Mississippi,29351,2.52,89.5,28.7,6.7,83.6,2.5,3.3,20.8,49340,28197,22.8,33542,2.7,5.2,6.1,5.6,6.1,55.9,144000,77917,53,6.3,22.4,13.6,58.1,36.1,0.1,0.9,0.3,4,2,0.8,1720,32372,5932,939.6666667,0,0,5.333333333,0,3.666666667,130.6666667,1155704,0,160.7087323
Franklin County,Mississippi,2974,2.55,84.3,16.5,9,92.9,0.1,0.2,36.2,43942,26844,23.8,4287,0.8,0.3,0.8,0,0.2,75.9,96200,7690,49.7,5.7,23.1,20.7,62.5,35.7,0.1,0,0,1.3,0.3,0,119,1018,596,134,0,0,0,0,0,28,32552,284,13.6764162
George County,Mississippi,8978,2.66,86,16,7.9,90.2,1.7,2.8,34.1,51349,24756,20.9,10256,0.6,0.1,1,1,0.3,81.9,157200,24547,49.3,7.7,26.4,15.2,88.4,7.7,0.2,0.6,0,2.9,1.7,1.4,335,3670,1688,305,0,0,0,0,0,47,262743,26592,51.18070712
Greene County,Mississippi,3910,2.54,81.1,11.4,7.5,85.2,0.9,1.2,45.1,50000,18257,18.4,5124,0.4,0.7,2.5,0.3,0.9,76.2,97500,13672,38.7,5.1,18.7,14.6,71.5,25.4,0.7,0,0,1.9,1.1,0.3,121,874,822,92,0,0,0,0,0,0,53542,4116,19.06169814
Grenada County,Mississippi,8434,2.51,82,22.1,5.9,85.4,1.1,2.4,21.2,45745,27128,22.2,10408,3.9,4.6,2.4,1.8,1.8,68.3,130100,21474,51.6,6,23.9,18.2,51.6,44.9,0.1,0.1,0,2.6,2.4,0.2,540,8257,1514,417,0,0,0,0,0,0,455138,46629,49.17534837
Hancock County,Mississippi,19386,2.36,90.4,24.4,10,84.4,2.1,3.4,32.8,63623,36883,13.7,22895,1.6,1.6,1.8,2,2.6,80.7,197400,46010,51.4,5.1,19.5,21.4,85.3,6.9,0.8,0.5,0,5.5,3.1,2.1,773,8733,3757,1674.666667,0,0,145.6666667,0,0,0,364450,216932,100.4970673
Harrison County,Mississippi,80191,2.55,89.1,24.8,13.9,82,4,6.2,23.6,55211,30120,18.4,92309,2.6,4.3,5.7,4.6,7,59.6,185000,208748,51,6.2,23.7,15.8,64.7,24.8,0.3,2.3,0.1,6.3,3.4,2.5,4274,71893,16761,1674.666667,0,0,145.6666667,0,0,0,3124538,1974267,362.7350237
Hinds County,Mississippi,89585,2.43,88.9,31.3,5.7,85.7,1.6,3.1,22.9,48596,27943,21,106047,3.2,3.6,9.6,4,5,57.8,141600,226541,53.1,6.2,23.6,15.2,24,72.9,0.2,0.7,0,1.7,1.2,0.5,5073,93095,20354,1856.666667,112.8333333,0,127.3333333,0,0,297.5,3330648,537248,266.5348312
Holmes County,Mississippi,5798,2.77,81,14.7,4.3,93.2,0.3,0.9,35.9,28818,20132,35,7569,0.1,3.7,6.6,0.8,1.1,62.5,73900,16848,51.8,6.5,25,15.8,15.1,83,0.1,0.2,0,1.6,0.4,0.2,222,1793,1591,0,0,0,0,0,0,0,87151,6196,22.47995552
Humphreys County,Mississippi,2991,2.56,74.8,18.6,3.2,90,0.3,1.1,24.9,31907,24506,32.1,3551,2.9,3.3,3.1,0.7,0.8,59.9,79900,7744,54.3,5.3,25.8,17.4,20,78.8,0.1,0.2,0.2,0.7,0.1,0.1,133,1254,728,134,0,0,0,0,0,0,48914,4288,19.2681541
Issaquena County,Mississippi,392,2.16,64.3,5.2,2.5,85.8,0,1,22.7,17900,13539,20.6,449,1.3,7.3,10.2,2.9,0,50.8,96300,1206,35.9,1.8,10.4,21,27.5,70.4,0,0,0,1.1,1.1,0,15,78,66,0,0,0,0,0,0,0,0,0,3.212721145
